date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-11-25,Ajax,Benfica,0–2,Johan Cruijff Arena,Sven Jablonski,62%,38%,613 of 713,356 of 436,3 of 7,4 of 11,2 of 4,3 of 3,86.0,81.7,42.9,36.4,50.0,100.0,Away Win,Benfica
2025-11-25,Manchester City,Leverkusen,0–2,Etihad Stadium,João Pinheiro,55%,45%,550 of 630,433 of 510,7 of 19,2 of 7,0 of 2,7 of 7,87.3,84.9,36.8,28.6,0.0,100.0,Away Win,Leverkusen
2025-11-25,Chelsea,Barcelona,3–0,Stamford Bridge,Slavko Vinčič,56%,44%,478 of 554,368 of 440,5 of 15,2 of 5,2 of 2,3 of 5,86.3,83.6,33.3,40.0,100.0,60.0,Home Win,Chelsea
2025-11-25,Galatasaray,Union SG,0–1,RAMS Park,Jose Maria Sánchez,66%,34%,506 of 615,218 of 318,2 of 15,5 of 16,4 of 5,2 of 2,82.3,68.6,13.3,31.2,80.0,100.0,Away Win,Union SG
2025-11-25,Dortmund,Villarreal,4–0,Signal Iduna Park,Davide Massa,66%,34%,587 of 660,278 of 346,5 of 11,1 of 10,1 of 1,1 of 5,88.9,80.3,45.5,10.0,100.0,20.0,Home Win,Dortmund
2025-11-25,Slavia Prague,Athletic Club,0–0,Fortuna Arena,Donatas Rumšas,52%,48%,246 of 367,222 of 334,3 of 8,4 of 12,4 of 4,3 of 3,67.0,66.5,37.5,33.3,100.0,100.0,Draw,Draw
2025-11-25,Bodø/Glimt,Juventus,2–3,Aspmyra Stadion,Danny Makkelie,57%,43%,482 of 583,340 of 437,5 of 17,15 of 23,12 of 15,4 of 5,82.7,77.8,29.4,65.2,80.0,80.0,Away Win,Juventus
2025-11-25,Marseille,Newcastle Utd,2–1,Orange Vélodrome,Maurizio Mariani,57%,43%,477 of 577,347 of 432,7 of 18,8 of 20,7 of 8,5 of 7,82.7,80.3,38.9,40.0,87.5,71.4,Home Win,Marseille
2025-11-25,Napoli,Qarabağ,2–0,Stadio Diego Armando Maradona,Szymon Marciniak,55%,45%,506 of 577,397 of 479,7 of 16,3 of 11,3 of 3,6 of 7,87.7,82.9,43.8,27.3,100.0,85.7,Home Win,Napoli
2025-11-26,FC Copenhagen,Qaırat Almaty,3–2,Parken,Nick Walsh,54%,46%,402 of 512,346 of 444,8 of 17,4 of 13,2 of 4,6 of 8,78.5,77.9,47.1,30.8,50.0,75.0,Home Win,FC Copenhagen
2025-11-26,Pafos FC,Monaco,2–2,Alphamega Stadium,Ivan Kružliak,49%,51%,341 of 449,378 of 470,4 of 17,6 of 14,4 of 6,3 of 4,75.9,80.4,23.5,42.9,66.7,75.0,Draw,Draw
2025-11-26,Liverpool,PSV Eindhoven,1–4,Anfield,Alejandro Hernández,63%,37%,545 of 620,284 of 364,9 of 27,5 of 8,2 of 5,8 of 9,87.9,78.0,33.3,62.5,40.0,88.9,Away Win,PSV Eindhoven
2025-11-26,Sporting CP,Club Brugge,3–0,Estádio José Alvalade,Tobias Stieler,45%,55%,425 of 498,517 of 600,9 of 19,1 of 8,1 of 1,6 of 9,85.3,86.2,47.4,12.5,100.0,66.7,Home Win,Sporting CP
2025-11-26,Arsenal,Bayern Munich,3–1,Emirates Stadium,Marco Guida,40%,60%,297 of 381,484 of 561,8 of 13,2 of 8,1 of 2,5 of 8,78.0,86.3,61.5,25.0,50.0,62.5,Home Win,Arsenal
2025-11-26,Paris S-G,Tottenham,5–3,Parc des Princes,Felix Zwayer,67%,33%,576 of 654,226 of 323,5 of 14,4 of 11,1 of 4,1 of 5,88.1,70.0,35.7,36.4,25.0,20.0,Home Win,Paris S-G
2025-11-26,Eint Frankfurt,Atalanta,0–3,Deutsche Bank Park,Chris Kavanagh,46%,54%,397 of 499,480 of 575,3 of 9,6 of 21,3 of 6,3 of 3,79.6,83.5,33.3,28.6,50.0,100.0,Away Win,Atalanta
2025-11-26,Atlético Madrid,Inter,2–1,Riyadh Air Metropolitan Stadium,François Letexier,49%,51%,436 of 530,469 of 561,6 of 15,6 of 17,5 of 6,4 of 6,82.3,83.6,40.0,35.3,83.3,66.7,Home Win,Atlético Madrid
2025-11-26,Olympiacos,Real Madrid,3–4,Stadio Georgios Karaiskáki,Michael Oliver,42%,58%,336 of 433,523 of 608,8 of 18,7 of 15,3 of 7,5 of 8,77.6,86.0,44.4,46.7,42.9,62.5,Away Win,Real Madrid
,,,,,,,,,,,,,,,,,,,,,
